"id","status","title","evidence"
"F01","Partly corrected","Direction-specific mode shares","Six cities now use domestic incoming-worker shares. Other pairs use home-city outgoing shares where available, otherwise resident shares as an explicit proxy. Aggregate and historical shares do not establish actual OD modes."
"F02","Corrected","Shared journeys agree across pages","One destination-first rule allocates each Swiss OD pair. Known and unspecified mode counts are reconciled across city pages."
"F03","Corrected","Motorcycles are disclosed","The button is labelled Car / motorcycle. All counts are people, not vehicles."
"F04","Corrected","No-journey records excluded","157.64 weighted INSEE no-transport people are excluded from travel. Rounding once per origin, workplace and category also changes the rounded total."
"F05","Partly corrected","Active-mode residual","Vaud–Geneva now uses the 2020 commuting survey and keeps its other category unclassified. French records and the six-city study identify active travel. Elsewhere, the resident-table fallback still treats the residual as a walking/cycling estimate; it may contain other modes."
"F06","Corrected","Geneva uses a consistent Swiss scope","Vaud-only totals in both directions: 23,398 inbound and 6,881 outbound. Other cantons and foreign/unknown outbound groups are disclosed as outside the model."
"F07","Corrected","Geneva workplaces retained","The page is named Geneva canton. French records retain all 45 reported workplace communes; Swiss routes use known commune pairs. Other pages represent municipalities."
"F08","Partly corrected","Coverage disclosed","Map, counter and chart now use the same routed cohort. The page shows source-to-mapped totals and mapped-to-routed coverage by mode. Missing rail, bus and foreign itineraries remain a substantial limitation."
"F09","Partly corrected","Unrouted active estimates removed from chart","Only local, accepted active routes contribute to the chart. Implausible long-distance residual allocations are retained in the audit as uncertainty, not silently reassigned to cars."
"F10","Corrected","One journey clock","All modes share departure waves, arrival accounting and continuous counters. Population reflects arrival at a workplace endpoint and departure for home, not measured municipal-boundary crossings."
"F11","Open limitation","Illustrative working day","The full cohort travels daily in the model. Attendance, remote work, holidays, shift work and observed departure distributions are not calibrated."
"F12","Partly corrected","Timetable journeys and rail fallback","Geneva now prioritises dated bus/rail itineraries with transfer waiting and separate outward/return times. Remaining rail-only paths use heuristic durations. A sample itinerary does not prove each commuter’s service or passenger load."
"F13","Open limitation","Foreign origins outside Geneva","Workplace totals match FSO, but foreign homes and modes are allocated. Chiasso and Mendrisio reuse Lugano’s foreign-origin proportions; that is a regional proxy."
"F14","Partly corrected","Vintages and exclusions exposed","Source files and hashes are preserved; coverage denominators are explicit. Counts still combine 2020 OD, 2019–2021 or 2023 modes, 2023 French records, 2024 Geneva totals and Q4 2025 border totals."
"F15","Corrected","Road endpoint review","Glarus Süd now uses the official Linthal station settlement point instead of a remote centroid. Every cache is checked for endpoint displacement; any remaining flags appear below."
"F16","Partly corrected","Reproducible inputs and checks","Added Geneva and resident-mode imports, four city modules, merger handling and source reconciliations. Earlier raw transforms for four cities and older point lookups remain incomplete. Survey uncertainty is preserved in source files but is not propagated into chart intervals."
