"id","severity","kind","confidence","scope","title","evidence","impact","action","location"
"F01","High","Confirmed scope error","High","11 cities","Resident transport shares are applied to incoming workers","The FSO concept is “Pendler (Weg- und Binnenpendler)”: outgoing and within-commune commuters. All 33 copied mode shares match the source, but createCityData applies them to all three flow groups. Zürich applies 16.4% MIV to incoming workers.","Mode counts can be substantially biased even when their sum is correct.","Use direction-appropriate shares or observed OD-by-mode data. Keep resident-only shares attached to their proper population; show uncertainty for inferred pairs.","app/data/create-city-data.ts; sources/fso-mode-definitions.xml; sourceComparisons.csv"
"F02","High","Confirmed inconsistency","High","14 shared directed city pairs","One journey gets different mode counts on different city pages","All 14 shared all-mode totals agree. All 14 car allocations disagree. Winterthur → Zürich: 3,430 on Winterthur’s page; 1,826 on Zürich’s page.","Changing the selected city changes the inferred mode of the same commuters.","Allocate mode once for each origin–destination pair. Add a cross-city consistency gate, allowing a documented small rounding tolerance.","reciprocal.csv; app/data/create-city-data.ts"
"F03","High","Confirmed category error","High","All 12 cities","The Car label includes motorcycles","FSO pen_tim is motorised private transport. Geneva reproduces TRANS 4 + 5; this includes 6'655 weighted motorcycle commuters before rounding.","The page cannot claim a car-only or vehicle count.","Label the current category “Car / motorcycle”, or acquire car-only data. Keep people distinct from vehicles and document vehicle occupancy if conversion is added.","sources/fso-mode-definitions.xml; sources/insee-swiss-aggregates.json; app/model.ts"
"F04","High","Confirmed category error","High","Geneva","No-transport records are animated as walking or cycling","All 714 French origin-mode rows reproduce exactly when soft = TRANS 1 + 2 + 3. TRANS 1 contributes 157.64 weighted people, or about 158.","People reporting no journey inflate the active-travel animation and commuting population.","Exclude TRANS 1 from travel, keep walking and cycling separate in the import, and recalculate affected totals.","scripts/audit-insee.py; audit.json:french; INSEE TRANS codebook"
"F05","High","Unverified category inference","Medium","11 cities","Walk / bike is a residual rather than a separately downloaded count","The FSO table supplies total, public transport and MIV. The project assigns total − public transport − MIV entirely to soft. No separate active category or exclusion rules were preserved.","A residual may include unclassified modes; it is not evidence of bicycle counts. A distance rule then chooses walking under 3 km and cycling beyond it.","Verify the residual’s definition or import explicit active-mode counts. Preserve unknown modes instead of silently assigning them.","sources/fso-modes.xml; scripts/generate-top-city-data.mjs; scripts/generate-active-routes.mjs"
"F06","High","Confirmed scope inconsistency","High","Geneva","The population model mixes Vaud-only arrivals with all departures","OCSTAT 2024: Vaud inbound 23,398; all-canton inbound 25,628; Vaud outbound 6,881; all outbound 8,703. The model uses 23,398 and −8,703. The missing inbound group is 2,230; the extra outbound group is 1,822.","Its daytime population change is about 2,230 below an all-canton construction with the same timing. The outgoing group also includes foreign or unknown workplaces, so “swissOutbound” is inaccurate.","Choose a consistent canton scope, add the other-canton arrivals, and distinguish Vaud, other Swiss, foreign and unknown outgoing groups.","app/cities.ts; sources/ocstat-commuters.xlsx:2024!B15:F22"
"F07","High","Confirmed geographic mismatch","High","Geneva versus other cities","Geneva uses canton flows while other pages use city communes","Geneva aggregates French workers in 45 SUC workplace communes into CH25 “Geneva workplaces”, and uses canton-level OCSTAT totals. Other city endpoints are individual communes. The INSEE file retains the real workplace communes.","City-to-city totals are not directly comparable; routing canton-wide workers to central Geneva overstates particular central approaches.","Name the region explicitly and route French commuters to their known workplace commune. Do not compare the Geneva canton total with municipal totals as equivalent units.","app/data/geneva.ts; sources/insee-swiss-aggregates.json; sources/ocstat-commuters.xlsx"
"F08","High","Coverage limitation","High","All cities","Displayed transport modes have unequal coverage","Car routes cover at least 95% of mapped estimates in both directions. Geneva public transport covers 11'841 of 38'502 (30.8%), including both directions. Bus, foreign and transfer-dependent journeys are often missing.","Dot counts and “travelling now” comparisons make modes with poor routing coverage look artificially small. Population uses broader totals.","Show covered / total per mode near the counter, add bus and cross-border itinerary coverage, and compare on a common denominator.","coverage.csv; corridors.csv; app/components/commute-dashboard.tsx"
"F09","High","Unsupported model allocation","High","All cities","Long-distance active estimates survive even when their routes are excluded","46'268 walk/bike estimates across 3'488 city-page corridors have endpoints more than 25 km apart. This is a page-row total, not unique national commuters. Examples include Lausanne → Genève and Luzern → Zürich.","A uniform active share is implausible for many long journeys; hiding their geometry leaves them in the chart.","Use distance- and origin-specific mode evidence. Keep excluded estimates visible as uncertainty; do not reclassify them as cars without evidence.","corridors.csv: mode=soft and directKm>25; app/model.ts"
"F10","High","Independent model assumptions","High","All cities","The population curve is not derived from animated arrivals","On the same routed car cohort, Zürich’s sigmoid population curve differs from departure/travel-time accounting by up to 5'861 people at minute 455. This compares journey-end presence, not measured city-boundary crossings.","People can be shown in transit while the independently timed curve already counts them at their destination. The curve and map cannot validate each other.","Use one departure/arrival event model for animation, in-transit totals and population, with a documented city-boundary rule.","timeseries.csv; app/model.ts; app/road-flow.ts"
"F11","High","Model scope limitation","High","All cities","A worker headcount is treated as a daily traffic schedule","The model schedules the full cohort each day. It has no attendance, remote-work, weekend, holiday or shift-work adjustment. Zürich has 9'228 car-category people at 07:45 and 0 at noon in this schedule.","These are synthetic moments, not traffic observations. Internal trips, deliveries, shopping and through traffic are outside scope.","Call it an illustrative working-day commute model. Calibrate attendance and departure profiles before adding real-time or traffic claims.","app/model.ts; app/road-flow.ts; app/components/commute-dashboard.tsx"
"F12","Medium","Documented modelling limitation","High","All cities","Rail geometry is not evidence of train passengers or a valid itinerary","The importer selects a nearby station within the same commune, then a shortest rail-distance path. No timetable, transfer, service frequency, train capacity or route-specific passenger count validates the inferred PT allocation. Timing uses a coordinate-distance heuristic.","PT commuters may actually use buses or other stations; the map cannot assert that they travel on the displayed train route.","Keep possible routes distinct from observed passenger counts; use timetable itineraries if route validity and travel time are needed.","scripts/generate-rail-routes.mjs; app/components/commute-dashboard.tsx:prepareMapData"
"F13","Medium","Documented modelling limitation","High","11 cities","Foreign origins are allocated from workplace totals","All 11 Q4 2025 workplace totals match the FSO after rounding. Their foreign home communes are nevertheless modelled allocations using selected nearby places and population/distance weights.","A correct workplace total does not establish the places or routes people come from. Cross-border modal shares also inherit the resident mismatch.","Tag these origins as allocated; replace them with observed cross-border OD data where available and retain uncertainty elsewhere.","scripts/generate-top-city-data.mjs:allocateForeign; app/data/*; sources/fso-cross-border-totals.json"
"F14","Medium","Coverage and vintage limitation","High","All cities","Fresh route files do not make old commuter estimates current","Swiss OD data are 2020, resident mode shares 2023, border totals Q4 2025, rail geometry 2023 and station/cache files 2026. Geographic cropping excludes some commuters before the 95% car-route target is applied.","The map, chart and source totals use different denominators and vintages. There is no historical route snapshot to quantify a before/after regression.","Publish separate data and geometry vintages, retain dated input hashes, and show full-source → mapped → routed coverage.","groups.csv; coverage.csv; audit.json:manifest; README.md"
"F15","Medium","Review flag","Medium","Zürich","One road endpoint snaps far from its requested location","Glarus Süd → Zürich: 18 estimated people; maximum endpoint displacement 1.64 km, against this audit’s 1 km car review threshold.","A commune centroid or settlement match may put the journey on an unsuitable approach; this does not explain the city-wide low count.","Inspect that endpoint and choose a supported inhabited location. Keep the threshold as a review flag, not a claim of wrong traffic counts.","zurich:CH1631>CH261:car:inbound"
